Nombre;Categoría;Raciones;Elaboración;Ingredientes
Salmón al horno;Pescados y mariscos;2;Horno;Salmón fresco§2ud|Limón§1ud|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara|Pimienta negra molida§1cuchara
Merluza a la plancha;Pescados y mariscos;2;Sartén;Merluza fresca§2ud|Aceite de oliva virgen extra§1cuchara|Ajo crudo§2ud|Perejil seco§1cuchara|Sal común§1cuchara
Dorada al horno;Pescados y mariscos;2;Horno;Dorada fresca§1ud|Patata cruda§2ud|Limón§1ud|Aceite de oliva virgen extra§2cuchara|Sal común§1cuchara
Atún con tomate;Pescados y mariscos;2;Cazuela;Atún en lata al natural§2ud|Tomate frito (salsa)§3cuchara|Cebolla cruda§1ud|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara
Gambas al ajillo;Pescados y mariscos;2;Sartén;Gambas peladas§300g|Ajo crudo§4ud|Aceite de oliva virgen extra§3cuchara|Pimienta de cayena§1cuchara|Sal común§1cuchara
Bacalao al pil pil;Pescados y mariscos;2;Cazuela;Bacalao en salazón§400g|Ajo crudo§4ud|Aceite de oliva virgen extra§5cuchara|Pimienta de cayena§1cuchara
Salmón a la plancha con brócoli;Pescados y mariscos;2;Sartén;Salmón fresco§2ud|Brócoli crudo§300g|Aceite de oliva virgen extra§2cuchara|Limón§1ud|Sal común§1cuchara
Sardinas a la plancha;Pescados y mariscos;2;Sartén;Sardinas frescas§6ud|Aceite de oliva virgen extra§1cuchara|Limón§1ud|Sal común§1cuchara
Tortilla de patata;Huevos;4;Sartén;Huevo entero crudo§4ud|Patata cruda§3ud|Cebolla cruda§1ud|Aceite de oliva virgen extra§3cuchara|Sal común§1cuchara
Revuelto de champiñones;Huevos;2;Sartén;Huevo entero crudo§3ud|Champiñón fresco§200g|Ajo crudo§1ud|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara
Huevos rotos con jamón;Huevos;2;Sartén;Huevo entero crudo§3ud|Patata cruda§2ud|Jamón ibérico§60g|Aceite de oliva virgen extra§3cuchara|Sal común§1cuchara
Tortilla francesa;Huevos;1;Sartén;Huevo entero crudo§2ud|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara
Revuelto de espinacas y queso;Huevos;2;Sartén;Huevo entero crudo§3ud|Espinacas cocidas§150g|Queso crema (tipo Philadelphia)§1cuchara|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara
Huevos al plato con tomate;Huevos;2;Horno;Huevo entero crudo§4ud|Tomate frito (salsa)§4cuchara|Sal común§1cuchara|Orégano seco§1cuchara
Frittata de verduras;Huevos;4;Horno;Huevo entero crudo§6ud|Pimiento rojo crudo§1ud|Cebolla cruda§1ud|Calabacín crudo§1ud|Aceite de oliva virgen extra§2cuchara|Sal común§1cuchara
Lentejas estofadas;Legumbres;4;Cazuela;Lentejas crudas§320g|Zanahoria cruda§2ud|Cebolla cruda§1ud|Pimiento rojo crudo§1ud|Tomate triturado (lata)§200g|Ajo crudo§2ud|Aceite de oliva virgen extra§2cuchara|Pimentón dulce§1cuchara|Sal común§1cuchara
Garbanzos con espinacas;Legumbres;4;Cazuela;Garbanzos en conserva§1ud|Espinacas cocidas§300g|Ajo crudo§3ud|Tomate frito (salsa)§2cuchara|Aceite de oliva virgen extra§2cuchara|Comino molido§1cuchara|Sal común§1cuchara
Fabada asturiana;Legumbres;4;Cazuela;Judías blancas cocidas§400g|Chorizo fresco§2ud|Morcilla§1ud|Panceta curada§100g|Ajo crudo§2ud|Sal común§1cuchara
Alubias rojas con verduras;Legumbres;4;Cazuela;Alubias rojas cocidas§400g|Zanahoria cruda§2ud|Puerro crudo§1ud|Pimiento verde crudo§1ud|Aceite de oliva virgen extra§2cuchara|Sal común§1cuchara
Hummus casero;Legumbres;4;Sin cocción;Garbanzos en conserva§1ud|Tahini (pasta de sésamo)§2cuchara|Limón§1ud|Ajo crudo§1ud|Aceite de oliva virgen extra§2cuchara|Sal común§1cuchara
Potaje de garbanzos;Legumbres;4;Cazuela;Garbanzos en conserva§1ud|Patata cruda§2ud|Espinacas cocidas§200g|Tomate frito (salsa)§2cuchara|Aceite de oliva virgen extra§2cuchara|Sal común§1cuchara|Comino molido§1cuchara
Ensalada mediterránea;Ensaladas;2;Sin cocción;Lechuga§100g|Tomate fresco§2ud|Pepino crudo§1ud|Aceitunas§50g|Atún en lata al natural§1ud|Aceite de oliva virgen extra§2cuchara|Vinagre de vino§1cuchara|Sal común§1cuchara
Ensalada César;Ensaladas;2;Sin cocción;Lechuga§150g|Pechuga de pollo a la plancha§1ud|Queso parmesano rallado§2cuchara|Mayonesa§1cuchara|Limón§1ud|Sal común§1cuchara
Ensalada de quinoa;Ensaladas;2;Sin cocción;Quinoa§80g|Tomate cherry§10ud|Pepino crudo§1ud|Aguacate§1ud|Limón§1ud|Aceite de oliva virgen extra§2cuchara|Sal común§1cuchara
Ensalada caprese;Ensaladas;2;Sin cocción;Tomate fresco§3ud|Queso crema (tipo Philadelphia)§100g|Aceite de oliva virgen extra§2cuchara|Sal común§1cuchara|Orégano seco§1cuchara
Ensalada de espinacas con fresas;Ensaladas;2;Sin cocción;Espinacas cocidas§100g|Fresas§6ud|Nueces§3ud|Aceite de oliva virgen extra§2cuchara|Vinagre balsámico§1cuchara|Sal común§1cuchara
Taboulé;Ensaladas;4;Sin cocción;Sémola de trigo duro§3cuchara|Tomate fresco§2ud|Pepino crudo§1ud|Limón§1ud|Aceite de oliva virgen extra§2cuchara|Perejil seco§2cuchara|Sal común§1cuchara
Gazpacho;Sopas y cremas;4;Sin cocción;Tomate fresco§800g|Pepino crudo§1ud|Pimiento verde crudo§1ud|Ajo crudo§1ud|Aceite de oliva virgen extra§3cuchara|Vinagre de vino§1cuchara|Sal común§1cuchara
Crema de calabaza;Sopas y cremas;4;Cazuela;Calabaza cruda§600g|Cebolla cruda§1ud|Zanahoria cruda§2ud|Nata líquida para montar§2cuchara|Aceite de oliva virgen extra§2cuchara|Sal común§1cuchara
Sopa de verduras;Sopas y cremas;4;Cazuela;Zanahoria cruda§2ud|Puerro crudo§1ud|Patata cruda§2ud|Cebolla cruda§1ud|Apio crudo§2ud|Sal común§1cuchara|Aceite de oliva virgen extra§1cuchara
Crema de brócoli;Sopas y cremas;4;Cazuela;Brócoli crudo§500g|Patata cruda§2ud|Cebolla cruda§1ud|Nata para cocinar§2cuchara|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara
Salmorejo;Sopas y cremas;4;Sin cocción;Tomate fresco§800g|Pan blanco de trigo§2ud|Ajo crudo§1ud|Aceite de oliva virgen extra§4cuchara|Vinagre de vino§1cuchara|Sal común§1cuchara
Vichyssoise;Sopas y cremas;4;Cazuela;Puerro crudo§3ud|Patata cruda§3ud|Nata líquida para montar§3cuchara|Mantequilla§1cuchara|Sal común§1cuchara
Caldo de pollo;Sopas y cremas;4;Cazuela;Pechuga de pollo cruda§1ud|Zanahoria cruda§2ud|Puerro crudo§1ud|Apio crudo§2ud|Sal común§1cuchara
Brócoli al vapor;Verduras y guarniciones;2;Vapor;Brócoli crudo§400g|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara|Limón§1ud
Patatas asadas;Verduras y guarniciones;2;Horno;Patata cruda§4ud|Aceite de oliva virgen extra§2cuchara|Sal común§1cuchara|Romero seco§1cuchara
Calabacín a la plancha;Verduras y guarniciones;2;Sartén;Calabacín crudo§2ud|Aceite de oliva virgen extra§1cuchara|Ajo crudo§1ud|Sal común§1cuchara
Espárragos trigueros a la plancha;Verduras y guarniciones;2;Sartén;Espárragos trigueros§300g|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara
Pisto manchego;Verduras y guarniciones;4;Cazuela;Calabacín crudo§2ud|Berenjena cruda§1ud|Pimiento rojo crudo§1ud|Tomate fresco§3ud|Cebolla cruda§1ud|Aceite de oliva virgen extra§3cuchara|Sal común§1cuchara
Boniato asado;Verduras y guarniciones;2;Horno;Boniato asado§2ud|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara|Canela molida§1cuchara
Champiñones salteados;Verduras y guarniciones;2;Sartén;Champiñón fresco§300g|Ajo crudo§2ud|Aceite de oliva virgen extra§2cuchara|Perejil seco§1cuchara|Sal común§1cuchara
Coliflor al horno;Verduras y guarniciones;4;Horno;Coliflor§500g|Aceite de oliva virgen extra§2cuchara|Cúrcuma en polvo§1cuchara|Sal común§1cuchara
Bocadillo de tortilla;Bocadillos y sandwiches;1;Sin cocción;Pan blanco de trigo§2ud|Huevo entero cocido (duro)§2ud|Sal común§1cuchara|Aceite de oliva virgen extra§1cuchara
Sandwich mixto;Bocadillos y sandwiches;1;Sartén;Pan de molde blanco§2ud|Queso en lonchas (fundido)§1ud|Jamón ibérico§40g|Mantequilla§1cuchara
Bocadillo de atún;Bocadillos y sandwiches;1;Sin cocción;Pan blanco de trigo§2ud|Atún en lata al natural§1ud|Tomate fresco§1ud|Mayonesa§1cuchara|Sal común§1cuchara
Tostadas con tomate y jamón;Bocadillos y sandwiches;1;Sin cocción;Pan blanco de trigo§2ud|Tomate fresco§1ud|Jamón ibérico§60g|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara
Tostadas con aguacate y huevo;Desayunos y batidos;1;Sin cocción;Pan integral§2ud|Aguacate§1ud|Huevo entero crudo§1ud|Limón§1ud|Sal común§1cuchara
Porridge de avena;Desayunos y batidos;1;Microondas;Avena (copos)§5cuchara|Leche semidesnatada§250ml|Miel§1cuchara|Canela molida§1cuchara
Batido de proteínas;Desayunos y batidos;1;Sin cocción;Leche semidesnatada§300ml|Plátano§1ud|Mantequilla de cacahuete§2cuchara|Cacao en polvo sin azúcar§1cuchara
Yogur con fruta y granola;Desayunos y batidos;1;Sin cocción;Yogur griego§1ud|Fresas§5ud|Miel§1cuchara|Semillas de chía§1cuchara
Tostadas con crema de cacahuete;Desayunos y batidos;1;Sin cocción;Pan integral§2ud|Mantequilla de cacahuete§2cuchara|Miel§1cuchara|Plátano§1ud
Tortitas de avena;Desayunos y batidos;2;Sartén;Avena (copos)§6cuchara|Huevo entero crudo§2ud|Leche semidesnatada§100ml|Miel§1cuchara|Aceite de girasol§1cuchara
Smoothie verde;Desayunos y batidos;1;Sin cocción;Espinacas cocidas§50g|Plátano§1ud|Leche de avena§300ml|Manzana§1ud|Semillas de chía§1cuchara
Wrap de pollo y aguacate;Wraps y bowls;2;Sin cocción;Wraps de trigo§2ud|Pechuga de pollo a la plancha§1ud|Aguacate§1ud|Tomate fresco§1ud|Lechuga§50g|Sal común§1cuchara
Bowl de quinoa con salmón;Wraps y bowls;2;Sin cocción;Quinoa§80g|Salmón al horno§1ud|Aguacate§1ud|Pepino crudo§1ud|Semillas de sésamo§1cuchara|Salsa de soja§1cuchara|Limón§1ud
Buddha bowl vegano;Wraps y bowls;2;Sin cocción;Arroz integral cocido§200g|Garbanzos en conserva§200g|Aguacate§1ud|Zanahoria cruda§1ud|Espinacas cocidas§80g|Tahini (pasta de sésamo)§2cuchara|Limón§1ud
Wrap de atún;Wraps y bowls;2;Sin cocción;Wraps de trigo§2ud|Atún en lata al natural§2ud|Tomate fresco§1ud|Lechuga§50g|Mayonesa§1cuchara
Bowl de arroz con huevo y verduras;Wraps y bowls;2;Sartén;Arroz blanco cocido§200g|Huevo entero crudo§2ud|Zanahoria cruda§1ud|Espinacas cocidas§80g|Salsa de soja§2cuchara|Aceite de sésamo§1cuchara
Pizza margarita casera;Pizzas y masas;2;Horno;Harina de trigo blanca§12cuchara|Tomate frito (salsa)§3cuchara|Queso en lonchas (fundido)§3ud|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara|Orégano seco§1cuchara
Quiche de verduras;Pizzas y masas;4;Horno;Harina de trigo blanca§10cuchara|Huevo entero crudo§3ud|Nata para cocinar§3cuchara|Pimiento rojo crudo§1ud|Champiñón fresco§150g|Cebolla cruda§1ud|Aceite de oliva virgen extra§2cuchara|Sal común§1cuchara
Guacamole;Tapas y snacks;4;Sin cocción;Aguacate§2ud|Tomate fresco§1ud|Cebolla cruda§1ud|Limón§1ud|Sal común§1cuchara|Cilantro fresco§10g
Patatas bravas;Tapas y snacks;4;Horno;Patata cruda§4ud|Aceite de oliva virgen extra§3cuchara|Pimentón picante§1cuchara|Sal común§1cuchara|Salsa brava§3cuchara
Croquetas de jamón caseras;Tapas y snacks;4;Sartén;Leche entera§500ml|Harina de trigo blanca§5cuchara|Mantequilla§2cuchara|Jamón ibérico§100g|Pan rallado§4cuchara|Huevo entero crudo§1ud|Sal común§1cuchara
Tostas de aguacate;Tapas y snacks;2;Sin cocción;Pan blanco de trigo§2ud|Aguacate§1ud|Tomate cherry§5ud|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara
Lasaña boloñesa;Pasta y arroz;6;Horno;Lasaña (láminas crudas)§300g|Carne picada de ternera§500g|Tomate triturado (lata)§400g|Leche entera§500ml|Harina de trigo blanca§3cuchara|Mantequilla§2cuchara|Cebolla cruda§1ud|Ajo crudo§2ud|Aceite de oliva virgen extra§2cuchara|Sal común§1cuchara|Orégano seco§1cuchara
Canelones de carne;Pasta y arroz;4;Horno;Pasta de trigo cruda§200g|Carne picada de ternera§400g|Tomate frito (salsa)§4cuchara|Cebolla cruda§1ud|Leche entera§300ml|Harina de trigo blanca§2cuchara|Mantequilla§1cuchara|Sal común§1cuchara
Espaguetis con gambas;Pasta y arroz;2;Sartén;Pasta de trigo cruda§180g|Gambas peladas§200g|Ajo crudo§3ud|Aceite de oliva virgen extra§3cuchara|Pimienta de cayena§1cuchara|Sal común§1cuchara|Perejil seco§1cuchara
Arroz con setas;Pasta y arroz;4;Cazuela;Arroz blanco crudo§320g|Setas de cardo frescas§200g|Cebolla cruda§1ud|Ajo crudo§2ud|Aceite de oliva virgen extra§2cuchara|Sal común§1cuchara
Pasta con atún y tomate;Pasta y arroz;2;Cazuela;Pasta de trigo cruda§180g|Atún en lata al natural§2ud|Tomate frito (salsa)§3cuchara|Ajo crudo§1ud|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara
Arroz con gambas;Pasta y arroz;4;Cazuela;Arroz blanco crudo§320g|Gambas peladas§300g|Cebolla cruda§1ud|Pimiento rojo crudo§1ud|Tomate fresco§2ud|Ajo crudo§2ud|Aceite de oliva virgen extra§3cuchara|Sal común§1cuchara
Fideuà;Pasta y arroz;4;Cazuela;Fideos crudos§320g|Gambas peladas§200g|Calamar§200g|Tomate fresco§2ud|Cebolla cruda§1ud|Ajo crudo§2ud|Aceite de oliva virgen extra§3cuchara|Sal común§1cuchara|Pimentón dulce§1cuchara
Pasta con verduras;Pasta y arroz;2;Cazuela;Pasta de trigo cruda§180g|Calabacín crudo§1ud|Pimiento rojo crudo§1ud|Berenjena cruda§1ud|Aceite de oliva virgen extra§2cuchara|Ajo crudo§2ud|Sal común§1cuchara
Arroz negro;Pasta y arroz;4;Cazuela;Arroz blanco crudo§320g|Calamar§300g|Cebolla cruda§1ud|Ajo crudo§2ud|Tomate fresco§1ud|Aceite de oliva virgen extra§3cuchara|Sal común§1cuchara
Pasta con espinacas y ricotta;Pasta y arroz;2;Cazuela;Pasta de trigo cruda§180g|Espinacas cocidas§150g|Queso ricotta§100g|Ajo crudo§1ud|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara
Solomillo de cerdo a la plancha;Carnes a la plancha;2;Sartén;Solomillo de cerdo§2ud|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara|Pimienta negra molida§1cuchara|Romero seco§1cuchara
Pechuga de pollo con limón;Carnes a la plancha;2;Sartén;Pechuga de pollo cruda§2ud|Limón§1ud|Ajo crudo§2ud|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara|Orégano seco§1cuchara
Chuletas de cerdo a la plancha;Carnes a la plancha;2;Sartén;Chuleta de cerdo§2ud|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara|Ajo en polvo§1cuchara|Pimienta negra molida§1cuchara
Muslos de pollo a la plancha;Carnes a la plancha;2;Sartén;Muslo de pollo crudo§2ud|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara|Pimentón dulce§1cuchara|Ajo en polvo§1cuchara
Pechuga de pollo al pesto;Carnes a la plancha;2;Sartén;Pechuga de pollo cruda§2ud|Pesto (salsa)§2cuchara|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara
Bistec de ternera con patatas;Carnes a la plancha;2;Sartén;Filete de ternera§2ud|Patata cruda§2ud|Aceite de oliva virgen extra§2cuchara|Sal común§1cuchara|Pimienta negra molida§1cuchara
Pollo tandoori;Carnes a la plancha;4;Horno;Pechuga de pollo cruda§4ud|Yogur natural entero§1ud|Curry en polvo§2cuchara|Cúrcuma en polvo§1cuchara|Ajo crudo§2ud|Limón§1ud|Sal común§1cuchara
Rabo de toro;Carnes guisadas;4;Cazuela;Cebolla cruda§2ud|Zanahoria cruda§2ud|Tomate triturado (lata)§200g|Aceite de oliva virgen extra§3cuchara|Sal común§1cuchara|Pimienta negra molida§1cuchara
Pollo en pepitoria;Carnes guisadas;4;Cazuela;Pechuga de pollo cruda§4ud|Almendras crudas§20ud|Ajo crudo§3ud|Huevo entero cocido (duro)§2ud|Cebolla cruda§1ud|Aceite de oliva virgen extra§3cuchara|Sal común§1cuchara
Ternera con champiñones;Carnes guisadas;4;Cazuela;Filete de ternera§600g|Champiñón fresco§300g|Cebolla cruda§1ud|Ajo crudo§2ud|Nata para cocinar§2cuchara|Aceite de oliva virgen extra§2cuchara|Sal común§1cuchara
Codillo de cerdo al horno;Carnes guisadas;4;Horno;Cebolla cruda§2ud|Ajo crudo§4ud|Aceite de oliva virgen extra§2cuchara|Sal común§1cuchara|Pimienta negra molida§1cuchara|Romero seco§1cuchara
Pollo a la cerveza;Carnes guisadas;4;Cazuela;Pechuga de pollo cruda§4ud|Cebolla cruda§1ud|Ajo crudo§2ud|Tomate frito (salsa)§2cuchara|Aceite de oliva virgen extra§2cuchara|Sal común§1cuchara|Orégano seco§1cuchara
Conejo al ajillo;Carnes guisadas;4;Cazuela;Ajo crudo§8ud|Aceite de oliva virgen extra§4cuchara|Romero seco§1cuchara|Sal común§1cuchara|Pimienta negra molida§1cuchara
Albóndigas en salsa;Carnes guisadas;4;Cazuela;Carne picada de ternera§500g|Huevo entero crudo§1ud|Pan rallado§3cuchara|Tomate frito (salsa)§4cuchara|Cebolla cruda§1ud|Ajo crudo§2ud|Aceite de oliva virgen extra§2cuchara|Sal común§1cuchara
Lubina al vapor;Pescados y mariscos;2;Vapor;Lubina fresca§1ud|Limón§1ud|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara|Perejil seco§1cuchara
Bacalao con tomate;Pescados y mariscos;2;Cazuela;Tomate frito (salsa)§4cuchara|Ajo crudo§2ud|Aceite de oliva virgen extra§2cuchara|Sal común§1cuchara|Pimentón dulce§1cuchara
Calamares a la romana;Pescados y mariscos;2;Sartén;Calamar§400g|Harina de trigo blanca§6cuchara|Huevo entero crudo§1ud|Aceite de girasol§6cuchara|Sal común§1cuchara|Limón§1ud
Rape a la marinera;Pescados y mariscos;4;Cazuela;Rape fresco§600g|Cebolla cruda§1ud|Tomate fresco§2ud|Ajo crudo§2ud|Aceite de oliva virgen extra§3cuchara|Perejil seco§1cuchara|Sal común§1cuchara
Boquerones en vinagre;Pescados y mariscos;4;Sin cocción;Boquerones frescos§400g|Vinagre de vino§100ml|Ajo crudo§3ud|Aceite de oliva virgen extra§2cuchara|Perejil seco§1cuchara|Sal común§1cuchara
Trucha a la plancha;Pescados y mariscos;2;Sartén;Trucha fresca§1ud|Jamón ibérico§60g|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara|Limón§1ud
Almejas a la marinera;Pescados y mariscos;2;Cazuela;Almejas frescas§500g|Ajo crudo§3ud|Perejil seco§1cuchara|Aceite de oliva virgen extra§2cuchara|Sal común§1cuchara
Salmón teriyaki;Pescados y mariscos;2;Sartén;Salmón fresco§2ud|Salsa teriyaki§3cuchara|Aceite de sésamo§1cuchara|Semillas de sésamo§1cuchara
Merluza en salsa verde;Pescados y mariscos;2;Cazuela;Merluza fresca§2ud|Ajo crudo§3ud|Aceite de oliva virgen extra§3cuchara|Perejil seco§2cuchara|Sal común§1cuchara
Pulpo a la gallega;Pescados y mariscos;4;Cazuela;Patata cruda§4ud|Aceite de oliva virgen extra§3cuchara|Pimentón dulce§1cuchara|Pimentón picante§1cuchara|Sal común§1cuchara
Huevos Benedict;Huevos;2;Cazuela;Huevo entero crudo§4ud|Pan de molde blanco§2ud|Jamón ibérico§80g|Mantequilla§2cuchara|Limón§1ud|Sal común§1cuchara
Shakshuka;Huevos;2;Sartén;Huevo entero crudo§4ud|Tomate triturado (lata)§400g|Pimiento rojo crudo§1ud|Cebolla cruda§1ud|Ajo crudo§2ud|Aceite de oliva virgen extra§2cuchara|Comino molido§1cuchara|Sal común§1cuchara
Revuelto de espárragos;Huevos;2;Sartén;Huevo entero crudo§3ud|Espárragos trigueros§200g|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara
Huevos rancheros;Huevos;2;Sartén;Huevo entero crudo§4ud|Tomate frito (salsa)§3cuchara|Tortilla de maíz (mexicana)§4ud|Cebolla cruda§1ud|Ajo crudo§1ud|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara
Tortilla de verduras;Huevos;4;Sartén;Huevo entero crudo§5ud|Calabacín crudo§1ud|Pimiento rojo crudo§1ud|Cebolla cruda§1ud|Aceite de oliva virgen extra§2cuchara|Sal común§1cuchara
Huevos a la flamenca;Huevos;2;Horno;Huevo entero crudo§4ud|Tomate frito (salsa)§3cuchara|Chorizo fresco§1ud|Pimiento rojo crudo§1ud|Aceite de oliva virgen extra§1cuchara|Sal común§1cuchara
Lentejas con chorizo;Legumbres;4;Cazuela;Lentejas crudas§320g|Chorizo fresco§2ud|Zanahoria cruda§2ud|Cebolla cruda§1ud|Pimiento rojo crudo§1ud|Ajo crudo§2ud|Aceite de oliva virgen extra§2cuchara|Pimentón dulce§1cuchara|Sal común§1cuchara
Garbanzos con bacalao;Legumbres;4;Cazuela;Garbanzos en conserva§1ud|Ajo crudo§3ud|Tomate frito (salsa)§2cuchara|Aceite de oliva virgen extra§2cuchara|Pimentón dulce§1cuchara|Sal común§1cuchara
Judiones de la granja;Legumbres;4;Cazuela;Judías blancas cocidas§400g|Chorizo fresco§1ud|Morcilla§1ud|Ajo crudo§3ud|Cebolla cruda§1ud|Aceite de oliva virgen extra§2cuchara|Sal común§1cuchara
